Stock Guide,Setor,Ticker,Rating,Market Cap (R$ mn),Volume Negociado (R$ mn) Semana,Volume Negociado (R$ mn) Média (12M),Volume Negociado (R$ mn) % da Média,Preço (R$) Último,Preço (R$) Alvo,Preço (R$) Upside (%),Performance (%) Semana,Performance (%) Mês,Performance (%) Ano,P/L 2025E,P/L 2026E,EV/EBITDA 2025E,EV/EBITDA 2026E,P/VP 2025E,P/VP 2026E,Dividend Yield (%) 2025E,Dividend Yield (%) 2026E,Dívida Líquida/EBITDA 2025E,Dívida Líquida/EBITDA 2026E,Roe (%) 2025E,Roe (%) 2026E,Lucro líquido (R$mn) 2025E,Lucro líquido (R$mn) 2026E,Lucro líquido (R$mn) 2027E,ROE 2025E,ROE 2026E,ROE 2027E,Dividend Yield (%) 2025E (extra),Dividend Yield (%) 2026E (extra),Dividend Yield (%) 2027E,4. Dados fundamentalistas (12M) EPS,4.Dados fundamentalistas (12M) LPA,Dívida líquida 2025E,Dívida líquida 2026E,Dívida líquida 2027E,Dívida Líquida/EBITDA 2025E (extra),Dívida Líquida/EBITDA 2026E (extra),Dívida Líquida/EBITDA 2027E,5.Destaques financeiros (R$ mn) Receita,5.Destaques financeiros (R$ mn) Lucro Bruto,5.Destaques financeiros (R$ mn) Mg. Bruta (%),5.Destaques financeiros (R$ mn) EBITDA,5.Destaques financeiros (R$ mn) Mg. EBITDA (%),5.Destaques financeiros (R$ mn) LAIR,5.Destaques financeiros (R$ mn) Lucro Líquido,5.Destaques financeiros (R$ mn) Mg. Líquida (%),5.Destaques financeiros (R$ mn) ROE,5.Destaques financeiros (R$ mn) Mg. LAIR (%)
Itaú,Bancos,ITUB4,Buy,415747.5447,739.624963,806.5924366,0.9169748307059689,39.15,50,0.277139208173691,0.0017294612662,-0.0015900602738,-0.0015900602738,7.3410511835246,6.5409776744709,n.a.,n.a.,1.906766204134263,1.6837521487782359,0.06811,0.076441,n.a.,n.a.,0.25083168787925403,0.24844775426821908,53420.7056680472,59957.0256882491,0.0,0.25083168787925403,0.24844775426821908,,0.06811,0.076441,,,,,,,,,,,,,,,,,,,
Bradesco,Bancos,BBDC4,Neutral,179048.52254,354.390019,516.6693158,0.6859126488889123,18.22,21,0.15257958287596063,0.011347376485,0.0016492578343,0.0016492578343,6.682501870484,5.962461214974,n.a.,n.a.,1.0268771170295796,0.939812959696552,0.078353,0.0775,n.a.,n.a.,0.15950498464856802,0.16459946064057504,29120.270254524,32616.9611517509,0.0,0.15950498464856802,0.16459946064057504,,0.078353,0.0775,,,,,,,,,,,,,,,,,,,
Banco do Brasil,Bancos,BBAS3,Neutral,123759.49173,347.480657,648.3012158,0.5359864342861225,21.68,25,0.1531365313653137,-0.0077803203667,-0.01094890511,-0.01094890511,3.8397757505018,3.2211942903877,n.a.,n.a.,0.6211298111091972,0.565883460692072,0.053517,0.067362,n.a.,n.a.,0.13087671080403426,0.14784977726815215,28760.6896036681,34794.5764048062,0.0,0.13087671080403426,0.14784977726815215,,0.053517,0.067362,,,,,,,,,,,,,,,,,,,
Santander Brasil,Bancos,SANB11,Neutral,125916.26499,85.741199,80.304919764,1.0676954693682046,33.73,35,0.03765194189149135,-0.016044340725,-0.0096887844984,-0.0096887844984,7.3078736997092,6.3760422838396,n.a.,n.a.,1.219513397858475,1.10639943534117,0.061536,0.070629,n.a.,n.a.,0.1717695638525533,0.17920906173348125,17719.8063231745,20325.4708135645,0.0,0.1717695638525533,0.17920906173348125,,0.061536,0.070629,,,,,,,,,,,,,,,,,,,
Banco ABC,Bancos,ABCB4,Buy,5883.4078557,15.822612,11.059641876,1.4306622381992216,23.65,29,0.2262156448202961,0.0057673978663,-0.002109704642,-0.002109704642,5.05467759482234,4.54986801251267,n.a.,n.a.,0.7565029595970761,0.6878790917431826,0.0791346,0.0879146,n.a.,n.a.,0.15669962396788895,0.1583696127847267,1125.2597011976,1250.1076919941,0.0,0.15669962396788895,0.1583696127847267,,0.0791346,0.0879146,,,,,,,,,,,,,,,,,,,
Banrisul,Bancos,BRSR6,Neutral,6546.1252508,24.656019,16.151528432,1.5265440112250055,15.31,13.5,-0.11822338340953631,0.033066896451,0.0045931758523,0.0045931758523,0,0,n.a.,n.a.,0.5282003820604493,0.4926009692506484,n.a.,n.a.,n.a.,n.a.,0.11260809423399244,0.1162466225332834,1291.2583651039,1427.8053587618,0.0,0.11260809423399244,0.1162466225332834,,,,,,,,,,,,,,,,,,,,,,
BR Partners,Bancos,BRBI11,Buy,2020.117345,5.532739,4.327214916,1.2785912203118317,19.24,22,0.14345114345114363,0.021231422505,-0.038,-0.038,9.72602748570922,8.13170872531875,n.a.,n.a.,2.2770183749116795,2.100574100596912,0.0719684,0.0860792,n.a.,n.a.,0.2426181019270684,0.26871971875584527,,,,0.2426181019270684,0.26871971875584527,,0.0719684,0.0860792,,,,,,,,,,,,,,,,,,,
Banco Inter,Bancos,INBR32,Buy,20213,36.46912661,81.201361635,0.44911964375583596,45.97,60,0.3051990428540352,-0.010759629868,-0.015209940017,-0.015209940017,8.54734144307595,6.65401535721377,n.a.,n.a.,1.7776935164749,1.5510298108080827,0.0234137,0.0352311,n.a.,n.a.,0.17727036280815223,0.1945522423914297,2361.0142707178,3037.7370564236,0.0,0.17727036280815223,0.1945522423914297,,0.0234137,0.0352311,,,,,,,,,,,,,,,,,,,
B3,Setor financeiro (Ex-Bancos),B3SA3,Buy,68902.138853,336.937034,488.25747535,0.6900806459921003,13.43,16,0.19136262099776613,0.0064307787634,-0.0058869485511,-0.0058869485511,12.6578701019814,13.1241997688426,9.1030100534216,8.6289884401188,3.3467068703431435,3.283040638322838,0.0711035697319434,0.06857732590469098,-0.2936070465206513,-0.33946814142470977,0.263588,0.249223,5392.198978659,5196.2850531123,,0.263588,0.249223,,0.0711035697319434,0.06857732590469098,,,,,,,,,,,,,,,,,,,
IRB Brasil,Setor financeiro (Ex-Bancos),IRBR3,Buy,4285.293511,40.246113,51.314113932,0.7843088366162378,52.36,60,0.14591291061879308,-0.044176706828,-0.024953445066,-0.024953445066,6.328138475573886,5.666181504451905,n.a.,n.a.,0.8118199729032954,0.735537918866786,0.0300661,0.0367318,n.a.,n.a.,0.12521836078883,0.1269461177529675,677.1813130508,756.2936553814,0.0,0.12521836078883,0.1269461177529675,,0.0300661,0.0367318,,,,,,,,,,,,,,,,,,,
